2 0.149933 4.000000 1.433289
3 0.489102 2.074966 1.017724
4 0.679730 1.515757 0.958406
5 0.776304 1.282034 0.944881
6 0.828788 1.164489 0.940688
7 0.859753 1.097744 0.939083
8 0.879339 1.056432 0.938370
9 0.892440 1.029169 0.938016
10 0.901604 1.010267 0.937825
11 0.908252 0.996638 0.937714
12 0.913223 0.986496 0.937647
13 0.917032 0.978749 0.937604
14 0.920014 0.972699 0.937576
15 0.922392 0.967886 0.937556
16 0.924317 0.963995 0.937543
17 0.925898 0.960804 0.937533
18 0.927211 0.958157 0.937526
19 0.928314 0.955935 0.937521
20 0.929248 0.954053 0.937517
